Epoch,Train loss,Test loss,Train time,Test time
1,1.7154,0.0054,11.9631,1.6698
2,0.5539,0.0029,11.9326,1.6696
3,0.4082,0.0024,12.0621,1.6688
4,0.3521,0.0021,11.9022,1.6661
5,0.3147,0.0019,12.1553,1.673
6,0.2854,0.0017,11.9674,1.6662
7,0.2627,0.0016,11.9569,1.6581
8,0.2444,0.0014,12.0068,1.6635
9,0.2281,0.0013,11.9914,1.6646
10,0.2151,0.0012,11.9006,1.6636
