run,time_elapsed,device
0,2.1238886029459536,Tesla P100-PCIE-12GB
1,2.033871265128255,Tesla P100-PCIE-12GB
2,2.0083722416311502,Tesla P100-PCIE-12GB
3,2.009404963813722,Tesla P100-PCIE-12GB
4,2.024468582123518,Tesla P100-PCIE-12GB
5,2.0007512662559748,Tesla P100-PCIE-12GB
6,2.032023696694523,Tesla P100-PCIE-12GB
7,1.9968248433433473,Tesla P100-PCIE-12GB
8,2.0027225171215832,Tesla P100-PCIE-12GB
9,2.0027841557748616,Tesla P100-PCIE-12GB
