run,time_elapsed,device
0,2.114962734747678,Tesla K80
1,2.132219285238534,Tesla K80
2,2.1119660190306604,Tesla K80
3,2.1163462842814624,Tesla K80
4,2.1223498662002385,Tesla K80
5,2.1151605402119458,Tesla K80
6,2.108689687680453,Tesla K80
7,2.152099832892418,Tesla K80
8,2.137542079202831,Tesla K80
9,2.1212855582125485,Tesla K80
