Epoch,Train loss,Test loss,Train time,Test time
1,1.7703,0.0055,12.0456,1.6869
2,0.5553,0.0029,12.0112,1.6898
3,0.4065,0.0024,11.9825,1.6952
4,0.3523,0.0021,11.9898,1.6875
5,0.3137,0.0019,12.0199,1.6899
6,0.2834,0.0017,12.0442,1.6823
7,0.2576,0.0015,12.1357,1.6834
8,0.2411,0.0014,11.8969,1.6655
9,0.224,0.0013,11.8387,1.6594
10,0.2103,0.0012,11.7889,1.6596
